Контроль качества,"Сам проверяет критичные моменты, личный контроль","Постоянный контроль: проверки, чек-листы, исправления","Отдел контроля качества, сертификации, рекламации","Система контроля качества, аудиты, корректирующие действия","TQM, сертификация ISO, внутренний аудит","Статистический контроль процессов, zero-defect","World-class quality, отраслевые награды, best practices","Quality excellence, continuous improvement culture"
Управление поставщиками,"Личные договоренности, 3-5 поставщиков, без систем","Работает с существующими, контролирует сроки и качество","Тендеры, контрактная система, 10-20 ключевых поставщиков","Управление контрактами, SLA, штрафы/бонусы","Централизованная закупочная функция, e-procurement","Strategic sourcing, управление категориями","Global sourcing, стратегические альянсы с поставщиками","Strategic procurement, supplier development"
Логистика и склад,"Минимальный склад или без него, все ручное","Организует текущие операции, контролирует остатки","Собственный склад или 3PL, WMS система","Оптимизация логистики, управление складскими запасами","Региональные распределительные центры, оптимизация сети","Network optimization, cross-dock, JIT","Логистическая сеть, оптимизация supply chain","Global supply chain optimization, resilience"
Разработка продукта,"Сам участвует в создании/доработке, прямая связь с клиентами","Собирает требования от клиентов, передает в разработку","Формирует продуктовую стратегию, нанимает CPO/Head of Product",Управление продуктовым портфелем в своем направлении,"Продуктовая стратегия, платформенное мышление",Управление lifecycle продуктовых линеек,"Портфельная продуктовая стратегия, платформенная экономика","Product portfolio management, lifecycle optimization"
Технологический стек,"Выбирает сам или с одним техническим партнером, простой стек","Не участвует в выборе, использует существующий","Решения о технологической архитектуре, найм CTO",Использование установленного стека,"Enterprise архитектура, облачные решения, безопасность",Работа с enterprise системами,"Technology strategy, CIO/CTO, digital transformation",Enterprise architecture alignment
Product-market fit,Главная задача! Постоянно тестирует и адаптирует продукт,Контролирует соответствие продукта ожиданиям клиентов,"Расширение PMF на новые сегменты, кастдев",Поддержание PMF в своем сегменте,"Multi-product PMF, кросс-продажи",Масштабирование успешных продуктов,Доминирование в core + экспансия в adjacent markets,Regional product-market fit optimization
Масштабирование продукта,"Продукт для узкого сегмента, ручная адаптация под клиента",Обеспечивает стабильное качество текущего продукта,"Типизация продукта, снижение кастомизации, self-service","Стандартизация продукта, снижение себестоимости","Платформизация, API, экосистемность","Индустриализация продукта, серийное производство","Глобальная платформа, white-label, licensing","Manufacturing excellence, yield optimization"
Клиентский опыт (CX),"Лично собирает фидбек, быстро фиксит проблемы","Собирает жалобы, организует устранение проблем","Внедрение CX метрик (NPS, CSI), customer success команда","Customer success, работа с жалобами, улучшения","Omnichannel CX, персонализация, AI/ML в CX","Voice of customer программы, customer advisory boards","World-class CX, customer obsession, NPS лидерство","Customer-centric culture, voice of customer"
Управление рисками,"Высокие - все риски на основателе, нет подушки","Минимизирует операционные риски, контролирует дебиторку","Выстраивание системы рисков, финансовая подушка 2-3 месяца","Операционные риски, дебиторка, inventory risk","Профессиональная система риск-менеджмента, страхование","ERM в операциях, бизнес-непрерывность","Enterprise risk management, board risk committee","Operational risk management, crisis management"
Compliance и лицензии,"Сам разбирается, получает базовые лицензии, минимум","Обеспечивает выполнение требований, ведет документацию","Специалист по compliance, получение сертификатов",Обеспечение соответствия в операциях,"Chief Compliance Officer, regulatory affairs","Операционный compliance, политики и процедуры","Chief Legal Officer, government relations, lobbying","Regulatory compliance excellence, audits"
Юридические вопросы,"Типовые договоры, сам читает и подписывает, консультант по запросу","Готовит документы, следит за сроками договоров","Штатный юрист или аутсорс, договорная работа","Работа с типовыми договорами, согласования","Legal department, интеллектуальная собственность, M&A support","Contract management, claims management","Корпоративное право, M&A, международные сделки, патенты","Legal support coordination, dispute resolution"
Безопасность и защита,"Базовая - антивирус, простые пароли, без системного подхода","Контролирует доступы, следит за базовыми правилами","ИБ-политика, резервное копирование, защита данных",Контроль соблюдения политик безопасности,"CISO, SOC, защита персданных, киберстрахование",Информационная безопасность операций,"Enterprise security, SOC 2, ISO 27001, cyber resilience","Cyber security, data governance, privacy"
Распределение времени,"80% операционка, 20% стратегия; работает 12-16 часов","90% операционка, 10% планирование; 10-12 часов","60% стратегия, 40% операционка; 12-14 часов","80% операционка, 20% стратегия направления; 11-13 часов","70% стратегия, 30% ключевые решения; 10-12 часов (эффективнее)","85% операционное совершенство, 15% стратегия; 11-12 часов","80% стратегия и внешнее представительство, 20% ключевые решения; 10-11 часов","90% operational execution, 10% strategic input; 11-12 часов"
Приоритеты,"Выживание, cash-flow, закрытие сделок, найм первых людей","Выполнение плана продаж, контроль расходов, качество","Масштабирование, выстраивание систем, найм топов, рост","План продаж, EBITDA направления, эффективность команды","Стратегия, M&A, ключевые сделки, инвесторы, развитие топов","EBITDA, операционная эффективность, качество, сроки","Стратегия компании, M&A, investor relations, board, legacy","Delivering numbers, operational KPIs, team performance"
Горизонт планирования,"1-3 месяца, реактивное планирование","Неделя-месяц, тактическое планирование","Квартал-год, стратегические сессии","Месяц-квартал, операционное и тактическое планирование","Год-3 года, стратегические планы","Квартал-год, операционные и тактические планы","3-5 лет, долгосрочная стратегия","Квартал-год, execution focus"
Метрики успеха,"Выручка, маржа, количество клиентов, юнит-экономика","KPI: выполнение плана, конверсия воронки, выполнение бюджета","Рост выручки, EBITDA, доля рынка, NPS, churn rate","Выручка, маржа, EBITDA, выполнение плана, оборачиваемость","EBITDA, ROI, стоимость бизнеса, доля рынка, NPS","EBITDA margin, ROIC, операционные KPI, customer metrics","Стоимость компании, TSR, market cap, brand value","Revenue, EBITDA, ROIC, market share, operational KPIs"
Ответственность,"Полная личная - своими деньгами, репутацией, временем",Перед основателем за результаты подразделения,"Перед инвесторами/партнерами, команда из 30-100 человек",Перед CEO/собственником за P&L направления,"Перед советом директоров/инвесторами, команда 200-500 человек",Перед CEO за операционные результаты компании/дивизиона,"Перед советом директоров/акционерами, 500-5000+ человек",Перед CEO/Board за крупнейший бизнес-юнит компании
